"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_EXPANSION_FLAG_KIT_DESC","Used to plot the position of a flag and its layout","Used to plot the position of a flag and its layout","Tento kit se používá pro zasazení vlajky do země.","Wird benutzt, um die Position einer Flagge und ihr Layout zu planen.","Используется для выбора расположения флага","Używane do ustawienia pozycji flagi i jej układu","A zászló helyzetét és elrendezését ábrázolja","Utilizzato per scegliere la posizione ed il layout di una bandiera","Se úsa para determinar la posición de la bandera y su área.","Utilisé pour tracer la position d'un drapeau et sa disposition","用於標定旗幟位置及其佈局","旗を立てるための部品","Usado para delimitar a posse de uma bandeira e sua área.","用来指示旗帜所在的位置和布局",
"STR_EXPANSION_FLAG_KIT_DESC_2","Flag pole, deploy it to claim your territory","Flag pole, deploy it to claim your territory","Postav k zabrání teritoria.","Fahnenstange, platziere sie, um dein Territorium zu beanspruchen.","Флагшток, установите его чтобы обозначить свою территорию","Maszt - Postaw aby zaklepać twoją ziemię","Zászlóoszlop, helyezd el a terület elfoglalásához","Asta per bandiera, utilizzato per reclamare un tuo territorio.","Mastil de bandera, usalo para reclamar tu territorio","Mât de drapeau, déployez-le pour revendiquer votre territoire","旗杆，部署它以宣告您的領地","旗立て：旗を立てて自分のテリトリーを宣言、所有できます","Mastro, utilize para delimitar seu território.","旗杆,可以用来宣传你的领地",
"STR_EXPANSION_FLAG_KIT_EXPANSION","Flag Kit - Expansion","Flag Kit - Expansion","Kit pro vlajku - Expansion","Flaggenset - Expansion","Флаг (набор) - Expansion","Zestaw Flagi - Expansja","EXPANSION zászló","Kit Bandiera - Expansion","Kit de banderas - Expansión","Kit de mât - Expansion","旗幟套件 - Expansion","旗キット - Epansion","Bandeira - Expansion","Expansion 项目旗帜包",
"STR_EXPANSION_FLAG_KIT_FRANCE","Flag Kit - France","Flag Kit - France","Kit pro vlajku - Francie","Flaggenset - Frankreich","Флаг (набор) - Франция","Zestaw Flagi - Francja","Francia zászló","Kit Bandiera - Francia","Kit de banderas - Fráncia","Kit de mât - France","旗幟套件 - 法國","旗キット - フランス","Bandeira - França","法国旗帜包",
"STR_EXPANSION_FLAG_KIT_GERMANY","Flag Kit - Germany","Flag Kit - Germany","Kit pro vlajku - Německo","Flaggenset - Deutschland","Флаг (набор) - Германия","Zestaw Flagi - Niemcy","Német zászló","Kit Bandiera - Germania","Kit de banderas - Alemania","Kit de mât - Allemagne","旗幟套件 - 德國","旗キット - ドイツ","Bandeira - Alemanha","德国旗帜包",
"STR_EXPANSION_FLAG_KIT_LATVIA","Flag Kit - Latvia","Flag Kit - Latvia","Kit pro vlajku - Litva","Flaggenset - Lettland","Флаг (набор) - Латвия","Zestaw Flagi - Łotwa","Lett zászló","Kit Bandiera - Lettonia","Kit de banderas - Letonia","Kit de mât - Lettonie","旗幟套件 - 拉脫維亞","旗キット - ラトビア","Bandeira - Latvia","立陶宛旗帜包",
"STR_EXPANSION_FLAG_KIT_LUXEMBOURG","Flag Kit - Luxembourg","Flag Kit - Luxembourg","Kit pro vlajku - Lucembursko","Flaggenset - Luxemburg","Флаг (набор) - Люксембург","Zestaw Flagi - Luksemburg","Luxemburgi zászló","Kit Bandiera - Lussemburgo","Kit de banderas - Luxemburgo","Kit de mât - Luxembourd","旗幟套件 - 盧森堡","旗キット - ルクセンブルグ","Bandeira - Luxemburgo","卢森堡旗帜包",
"STR_EXPANSION_FLAG_KIT_MEXICO","Flag Kit - Mexico","Flag Kit - Mexico","Kit pro vlajku - Mexiko","Flaggenset - Mexiko","Флаг (набор) - Мексика","Zestaw Flagi - Meksyk","Mexikói zászló","Kit Bandiera - Messico","Kit de banderas - México","Kit de mât - Mexique","旗幟套件 - 墨西哥","旗キット - メキシコ","Bandeira - México","墨西哥旗帜包",
"STR_EXPANSION_FLAG_KIT_NETHERLANDS","Flag Kit - Netherlands","Flag Kit - Netherlands","Kit pro vlajku - Nizozemsko","Flaggenset - Niederlande","Флаг (набор) - Нидерланды","Zestaw Flagi - Holandia","Holland zászló","Kit Bandiera - Olanda","Kit de banderas - Holanda","Kit de mât - Pays-Bas","旗幟套件 - 荷蘭","旗キット - オランダ","Bandeira - Holanda","荷兰旗帜包",
"STR_EXPANSION_FLAG_KIT_NORWAY","Flag Kit - Norway","Flag Kit - Norway","Kit pro vlajku - Norsko","Flaggenset - Norwegen","Флаг (набор) - Норвегия","Zestaw Flagi - Norwegia","Norvég zászló","Kit Bandiera - Norvegia","Kit de banderas - Noruega","Kit de mât - Norvège","旗幟套件 - 挪威","旗キット - ノルウェイ","Bandeira - Noruega","挪威旗帜包",
"STR_EXPANSION_FLAG_KIT_NZ","Flag Kit - New Zealand","Flag Kit - New Zealand","Kit pro vlajku - Nový Zéland","Flaggenset - Neuseeland","Флаг (набор) - Новая Зеландия","Zestaw Flagi - Nowa Zelandia","Új Zélandi zászló","Kit Bandiera - Nuova Zelanda","Kit de banderas - Nueva Zelanda","Kit de mât - Nouvelle-Zélande","旗幟套件 - 紐西蘭","旗キット - ニュージーランド","Bandeira - Nova Zelândia","新西兰旗帜包",
"STR_EXPANSION_FLAG_KIT_POLAND","Flag Kit - Poland","Flag Kit - Poland","Kit pro vlajku - Polsko","Flaggenset - Polen","Флаг (набор) - Польша","Zestaw Flagi - Polska","Lengyel zászló","Kit Bandiera -  Polonia","Kit de banderas - Polonia","Kit de mât - Pologne","旗幟套件 - 波蘭","旗キット - ポーランド","Bandeira - Polônia","波兰旗帜包",
"STR_EXPANSION_FLAG_KIT_RUSSIA","Flag Kit - Russia","Flag Kit - Russia","Kit pro vlajku - Rusko","Flaggenset - Russland","Флаг (набор) - Россия","Zestaw Flagi - Rosja","Orosz zászló","Kit Bandiera - Russia","Kit de banderas - Russia","Kit de mât - Russie","旗幟套件 - 俄羅斯","旗キット - ロシア","Bandeira - Rússia","俄罗斯旗帜包",
"STR_EXPANSION_FLAG_KIT_UK","Flag Kit - UK","Flag Kit - UK","Kit pro vlajku - UK","Flaggenset - UK","Флаг (набор) - Великобритания","Zestaw Flagi - Wielka Brytania","UK zászló","Kit Bandiera - Regno Unito","Kit de banderas - Reino Unido","Kit de mât - Royaume-Uni","旗幟套件 - 英國","旗キット - 英国","Bandeira - UK","英国旗帜包",
"STR_EXPANSION_FLAG_KIT_USA","Flag Kit - USA","Flag Kit - USA","Kit pro vlajku - USA","Flaggenset - USA","Флаг (набор) - США","Zestaw Flagi - Stany Zjednoczone","USA zászló","Kit Bandiera - Stati Uniti","Kit de banderas - Estados Unidos","Kit de mât - Etats-Unis","旗幟套件 - 美國","旗キット - アメリカ","Bandeira - USA","美国旗帜包",
"STR_EXPANSION_FLAG_KIT_WHITE","Flag Kit - White","Flag Kit - White","Kit pro vlajku - Bílá","Flaggenset - Weiß","Флаг (набор) - Белый","Zestaw Flagi - Biała","Fehér zászló","Kit Bandiera - Bianco","Kit de banderas - Bandera blanca","Kit de mât - Blanc","旗幟套件 - 白色","旗キット - 白","Bandeira - Branca","纯白旗帜包",
"STR_EXPANSION_FLAG_POLE","Flag Pole","Flag Pole","Stojan na vlajku","Fahnenstange","Флагшток","Maszt","Zászlóoszlop","Asta per bandiera","Mastil de bandera","Mât de drapeau","旗杆","旗立て","Mastro, utilize para delimitar seu território.","旗杆",
"STR_EXPANSION_FLAG_POLE_CHERNARUS","Flag Pole - Chernarus","Flag Pole - Chernarus","Vlajkový stožár - Černarus","Fahnenstange - Chernarus","Флагшток - Чернорусь","Maszt Flagowy - Czarnoruś","Zászlórúd - Csernarusszia","Asta per Bandiera - Chernarus","Asta de bandera - Chernarus","Mât - Chernarus","旗杆 - 切爾諾貝利","旗立て - チェルナルス","Mastro da Bandeira - Chernarus","旗杆-车臣尼亚",
"STR_EXPANSION_FLAG_POLE_WHITE","Flag Pole - White","Flag Pole - White","Vlajkový stožár - Bílá","Fahnenstange - Weiß","Флагшток - Белый","Maszt Flagowy - Biały","Zászlórúd - Fehér","Asta per Bandiera - Bianca","Asta de bandera - Blanco","Mât - Blanc","旗杆 - 白色","旗立て - 白","Mastro da Bandeira - Branco","旗杆-纯白",
"STR_EXPANSION_FLAG_PREVIEW","FLAG PREVIEW:","FLAG PREVIEW:","NÁHLED VLAJKY:","FLAGGENVORSCHAU:","ФЛАГ ПРЕВЬЮ:","FLAG PREVIEW:","FLAG PREVIEW:","ANTEPRIMA BANDIERA:","PREVISUALIZACIÓN DEL LA BANDERA","APERÇU DU DRAPEAU","旗幟預覽:","FLAG PREVIEW:","FLAG PREVIEW:","旗帜预览:",
"STR_EXPANSION_FLAG_TERRITORY_CONFIRM_DESC","Are you sure you want to convert this flag to a territory? You cannot undo this change!","Are you sure you want to convert this flag to a territory? You cannot undo this change!","Opravdu chcete vlajku převést na území? Tuto změnu nelze vrátit zpět!","Bist du sicher? Das kann nicht rückgängig gemacht werden!","Вы уверены, что хотите преобразовать этот флаг в территорию? Это нельзя отменить!","Are you sure you want to convert this flag to a territory? You cannot undo this change!","Are you sure you want to convert this flag to a territory? You cannot undo this change!","Sei sicuro di voler convertire questa bandiera in territorio? Non puoi più tornare indietro!","¿Estas seguro de querer convertir la bandera a un territorio? ¡No puedes deshacer este cambio!","Voulez-vous vraiment convertir ce drapeau en territoire? Vous ne pouvez pas annuler ce changement!","您確定要將此旗幟轉換為領地嗎？這個操作無法撤銷！","Are you sure you want to convert this flag to a territory? You cannot undo this change!","Are you sure you want to convert this flag to a territory? You cannot undo this change!","您确定要将此标志转换为地区吗？您无法撤消此更改！",
"STR_EXPANSION_FLAG_TERRITORY_CONFIRM_OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","確定","OK","OK","确定",
"STR_EXPANSION_FLAG_TERRITORY_DATA","TERRITORY DATA:","TERRITORY DATA:","ÚDAJE O ÚZEMÍ:","TERRITORIUMSDATEN:","ДАННЫЕ О ТЕРРИТОРИИ:","TERRITORY DATA:","TERRITORY DATA:","DATI TERRITORIO","INFORMACIÓN DEL TERRITORIO","DONNÉES DU TERRITOIRE:","領地資料:","TERRITORY DATA:","TERRITORY DATA:","领地数据:",
"STR_EXPANSION_FLAG_TERRITORY_FLAG","TERRITORY FLAG","TERRITORY FLAG","VLAJKA ÚZEMÍ","TERRITORIUMSFLAGGE","ФЛАГ ТЕРРИТОРИИ","TERRITORY FLAG","TERRITORY FLAG","BANDIERA TERRITORIO?","BANDERA DEL TERRITORIO","DRAPEAU TERRITOIRE","領地旗幟","TERRITORY FLAG","TERRITORY FLAG","领地旗帜",
"STR_EXPANSION_FLAG_TERRITORY_NAME","TERRITORY NAME:","TERRITORY NAME:","NÁZEV ÚZEMÍ:","TERRITORIUMSNAME:","НАИМЕНОВАНИЕ ТЕРРИТОРИИ:","TERRITORY NAME:","TERRITORY NAME:","NOME TERRITORIO","NOMBRE DEL TERRITORIO","NOM DU TERRITOIRE:","領地名稱:","TERRITORY NAME:","TERRITORY NAME:","领地名称:",
"STR_EXPANSION_FLAG_TERRITORY_OWNER_NAME","Owner Name:","Owner Name:","Jméno vlastníka:","Besitzer:","Имя владельца:","Owner Name:","Owner Name:","Nome Proprietario:","NOMBRE DEL PROPIETARIO","Nom du propriétaire:","擁有者名稱:","Owner Name:","Owner Name:","所有者:",
"STR_EXPANSION_FLAG_TERRITORY_POSITION","Position:","Position:","Pozice:","Position:","Позиция:","Position:","Position:","Posizione:","POSICIÓN","Position:","位置:","Position:","Position:","位置:",
"STR_EXPANSION_FLAG_TERRITORY_TITLE","TERRITORY","TERRITORY","ÚZEMÍ","TERRITORIUM","ТЕРРИТОРИЯ","TERRITORY","TERRITORY","TERRITORIO","TERRITORIO","TERRITOIRE","領地","TERRITORY","TERRITORY","领地",
"STR_EXPANSION_FLAG_TEXTURE","FLAG TEXTURE:","FLAG TEXTURE:","TEXTURA VLAJKY:","FLAGGENTEXTUR:","ФЛАГ ТЕКСТУРА:","FLAG TEXTURE:","FLAG TEXTURE:","TEXTURE BANDIERA","TEXTURA","TEXTURE DU DRAPEAU","旗幟紋理:","FLAG TEXTURE:","FLAG TEXTURE:","旗帜纹理:",
"STR_EXPANSION_FLAG_TITLE","FLAG","FLAG","VLAJKA","FLAGGE","ФЛАГ","FLAG","FLAG","BANDIERA","BANDERA","DRAPEAU","旗幟","FLAG","FLAG","旗帜",
"STR_EXPANSION_HANDMADE_EXPLOSIVE","Handmade Explosive","Handmade Explosive","Improvizovaná nálož","Handgemachte Bombe","Самодельная взрывчатка","Improwizowany Ładunek Wybuchowy","Kézműves robbanószer","Esplosivo Improvvisato","Explosivo hecho a mano","Explosif Maison","手工製作爆炸裝置","手作り爆弾","Explosivo Caseiro","手制炸药",
"STR_EXPANSION_HANDMADE_EXPLOSIVE_DESC","A handmade explosive device.","A handmade explosive device.","Nálože, vyrobená doslova na koleni.","Eine handgemachte Bombe","Самодельное взрывное устройство","Improwizowane Narzędzie Wybuchowe","Kézzel összetákolt robbanószer.","Un dispositivo esplosivo fatto con materiali di recupero.","Un dispositivo explosivo hecho a mano.","Un explosif fait à la main","一種手工製作的爆炸裝置。","手作りの爆発物です","Um explosivo feito a mão.","一种自制炸药",
"STR_EXPANSION_KIT","Expansion Kit","Expansion Kit","Expansion Kit","Expansion Kit","Набор Expansion","Zestaw Expansion","Expansion Kit","Expansion Kit","Expansion Kit","Expansion Kit","EXPANSION 套件","Expansion Kit","Conjunto Expanção","Expansion 包",
"STR_EXPANSION_KIT_BASE","Expansion Kit Base","Expansion Kit Base","Expansion Kit pro základnu","Expansion Kit Base","Набор базы Expansion","Zestaw Bazy Expansion","Expansion Kit Base","Expansion Kit Base","Expansion Kit Base","Expansion Kit Base","EXPANSION 套件基礎","Expansion Kit Base","Conjunto de Base Expanção","Expansion 基本包",
"STR_EXPANSION_KIT_BASE_DESC","Expansion Kit Base","Expansion Kit Base","Expansion Kit pro základnu","Expansion Kit Base","Набор базы Expansion","Zestaw Bazy Expansion","Expansion Kit Base","Expansion Kit Base","Expansion Kit Base","Expansion Kit Base","EXPANSION 套件基礎","Expansion Kit Base","Conjunto de Base Expanção","Expansion 基本包",
"STR_EXPANSION_KIT_DESC","Expansion Kit","Expansion Kit","Expansion Kit","Expansion Kit","Набор Expansion","Zestaw Expansion","Expansion Kit","Expansion Kit","Expansion Kit","Expansion Kit","EXPANSION 套件","Expansion Kit","Conjunto Expanção","Expansion 包",
"STR_EXPANSION_LARGE_SAFE","Large Safe","Large Safe","Velký Trezor","Großer Tresor","Большой сейф","Duży Sejf","Nagy széf","Cassaforte Grande","Caja fuerte grande","Coffre-fort grand","大型保險櫃","大型金庫","Cofre Grande","非常安全",
"STR_EXPANSION_LUMBER_BIG","Lumber (1.5m)","Lumber (1.5m)","Kláda (1.5m)","Holzbrett (1,5 m)","Бревно (1.5м)","Deska (1.5m)","Deszka (1.5 m)","Legname (1.5m)","Tabla (1.5m)","Bois (1.5m)","木材（1.5米）","木材(1.5m)","Tábua (1.5m)","木材(1.5m)",
"STR_EXPANSION_LUMBER_BIG_DESC","Lumber is a type of wood that has been processed into beams and planks, a stage in the process of wood production. Lumber is mainly used for structural purposes but has many other uses as well.","Lumber is a type of wood that has been processed into beams and planks, a stage in the process of wood production. Lumber is mainly used for structural purposes but has many other uses as well.","Kláda je druh dřeva, které bylo zpracováno na nosníky a prkna, což je fáze v procesu výroby dřeva. Dřevo se používá především pro stavební účely, ale má také mnoho dalších použití.","Dieses Brett eigenet sich wunderbar für die Errichtung von Gebäuden und sonstigem!","Пиломатериалы - это вид древесины, который был переработан в балки и доски. Пиломатериалы в основном используются в конструкционных целях, но также имеют много других применений. Этот равен 1.5м","Lumber is a type of wood that has been processed into beams and planks, a stage in the process of wood production. Lumber is mainly used for structural purposes but has many other uses as well.","Lumber is a type of wood that has been processed into beams and planks, a stage in the process of wood production. Lumber is mainly used for structural purposes but has many other uses as well.","Legname in travi e tavole, prodotto dalla lavorazione di Tronchi. Solitamente usato per scopi strutturali ma ha altri svariati utilizzi. Questo è lungo 1.5m!","La madera aserrada es un tipo de madera que sirve para procesarse en vigas y tablones. La madera se utiliza principalmente con fines estructurales, pero también tiene muchos otros usos.","Le bois de charpente est un type de bois qui a été transformé en poutres et en planches, une étape du processus de production du bois. Le bois d'œuvre est principalement utilisé à des fins structurelles, mais a également de nombreuses autres utilisations.","木材是一種經過加工成梁和木板的木材類型，在木材生產過程中的一個階段。木材主要用於結構用途，但也有許多其他用途。小心不要在搬運時弄傷你的背！","Lumber is a type of wood that has been processed into beams and planks, a stage in the process of wood production. Lumber is mainly used for structural purposes but has many other uses as well.","Lumber is a type of wood that has been processed into beams and planks, a stage in the process of wood production. Lumber is mainly used for structural purposes but has many other uses as well.","木材是一种已被加工成梁和木板的木材，是木材生产过程中的一个阶段。木材主要用于结构目的，但也有许多其他用途。这个是1.5米长度的木材。",
"STR_EXPANSION_LUMBER_LARGE","Lumber (3m)","Lumber (3m)","Kláda (3m)","Holzbrett (3 m)","Бревно (3м)","Deska (3m)","Deszka (3 m)","Legname (3m)","Tabla (3m)","Bois (3m)","木材（3米）","木材(3m)","Tábua (3m)","木材(3m)",
"STR_EXPANSION_LUMBER_LARGE_DESC","Lumber is a type of wood that has been processed into beams and planks, a stage in the process of wood production. Lumber is mainly used for structural purposes but has many other uses as well. Carefull to not break your back while carrying it !","Lumber is a type of wood that has been processed into beams and planks, a stage in the process of wood production. Lumber is mainly used for structural purposes but has many other uses as well. Carefull to not break your back while carrying it !","Kláda je druh dřeva, které bylo zpracováno na nosníky a prkna, což je fáze v procesu výroby dřeva. Dřevo se používá především pro stavební účely, ale má také mnoho dalších použití. Dejte pozor, abyste si nezlomili záda při nesení!","Dieses Brett eigenet sich wunderbar für die Errichtung von Gebäuden und sonstigem!","Пиломатериалы - это вид древесины, который был переработан в балки и доски.Пиломатериалы в основном используются в конструкционных целях, но также имеют много других применений. Будьте осторожны, чтобы не сломать спину во время переноски!","Lumber is a type of wood that has been processed into beams and planks, a stage in the process of wood production. Lumber is mainly used for structural purposes but has many other uses as well. Carefull to not break your back while carrying it !","Lumber is a type of wood that has been processed into beams and planks, a stage in the process of wood production. Lumber is mainly used for structural purposes but has many other uses as well. Carefull to not break your back while carrying it !","Legname in travi e tavole, prodotto dalla lavorazione di Tronchi. Solitamente usato per scopi strutturali ma ha altri svariati utilizzi. Questo è lungo 3m!","La madera aserrada es un tipo de madera que sirve para procesarse en vigas y tablones. La madera se utiliza principalmente con fines estructurales, pero también tiene muchos otros usos. Cuidado en no lastimarse al trasladarlo!","Le bois de charpente est un type de bois qui a été transformé en poutres et en planches, une étape du processus de production du bois. Le bois d'œuvre est principalement utilisé à des fins structurelles, mais a également de nombreuses autres utilisations. Attention à ne pas vous casser le dos en le portant!","木材是一種經過加工成梁和木板的木材類型，在木材生產過程中的一個階段。木材主要用於結構用途，但也有許多其他用途。小心不要在搬運時弄傷你的背！","Lumber is a type of wood that has been processed into beams and planks, a stage in the process of wood production. Lumber is mainly used for structural purposes but has many other uses as well. Carefull to not break your back while carrying it !","Lumber is a type of wood that has been processed into beams and planks, a stage in the process of wood production. Lumber is mainly used for structural purposes but has many other uses as well. Carefull to not break your back while carrying it !","木材是一种已被加工成梁和木板的木材，是木材生产过程中的一个阶段。木材主要用于结构目的，但也有许多其他用途。这个是3.0米长度的木材。",
"STR_EXPANSION_LUMBER_MEDIUM","Lumber (1m)","Lumber (1m)","Kláda (1m)","Holzbrett (1 m)","Бревно (1м)","Deska (1m)","Deszka (1 m)","Legname (1m)","Tabla (1m)","Bois (1m)","木材（1米）","木材(1m)","Tábua (1m)","木材(1m)",
"STR_EXPANSION_LUMBER_MEDIUM_DESC","Lumber is a type of wood that has been processed into beams and planks, a stage in the process of wood production. Lumber is mainly used for structural purposes but has many other uses as well. This one should be 1 meter long !","Lumber is a type of wood that has been processed into beams and planks, a stage in the process of wood production. Lumber is mainly used for structural purposes but has many other uses as well. This one should be 1 meter long !","Kláda je druh dřeva, které bylo zpracováno na nosníky a prkna, což je fáze v procesu výroby dřeva. Dřevo se používá především pro stavební účely, ale má také mnoho dalších použití. Tato by měla být dlouhá 1 metr!","Dieses Brett eigenet sich wunderbar für die Errichtung von Gebäuden und sonstigem!","Пиломатериалы - это вид древесины, который был переработан в балки и доски. Пиломатериалы в основном используются в конструкционных целях, но также имеют много других применений. Этот равен 1м","Lumber is a type of wood that has been processed into beams and planks, a stage in the process of wood production. Lumber is mainly used for structural purposes but has many other uses as well. This one should be 1 meter long !","Lumber is a type of wood that has been processed into beams and planks, a stage in the process of wood production. Lumber is mainly used for structural purposes but has many other uses as well. This one should be 1 meter long !","Legname in travi e tavole, prodotto dalla lavorazione di Tronchi. Solitamente usato per scopi strutturali ma ha altri svariati utilizzi. Questo è lungo 1m!","La madera aserrada es un tipo de madera que sirve para procesarse en vigas y tablones. La madera se utiliza principalmente con fines estructurales, pero también tiene muchos otros usos. ¡Este deberia ser de 1 metro de largo!","Le bois de charpente est un type de bois qui a été transformé en poutres et en planches, une étape du processus de production du bois. Le bois d'œuvre est principalement utilisé à des fins structurelles, mais a également de nombreuses autres utilisations. Celui-ci devrait mesurer 1 mètre de long!","木材是一種經過加工成梁和木板的木材類型，在木材生產過程中的一個階段。木材主要用於結構用途，但也有許多其他用途。這個應該有1米長！","Lumber is a type of wood that has been processed into beams and planks, a stage in the process of wood production. Lumber is mainly used for structural purposes but has many other uses as well. This one should be 1 meter long !","Lumber is a type of wood that has been processed into beams and planks, a stage in the process of wood production. Lumber is mainly used for structural purposes but has many other uses as well. This one should be 1 meter long !","木材是一种已被加工成梁和木板的木材，是木材生产过程中的一个阶段。木材主要用于结构目的，但也有许多其他用途。这个是1.0米长度的木材。",
"STR_EXPANSION_LUMBER_SMALL","Lumber (0.5m)","Lumber (0.5m)","Kláda (0.5m)","Holzbrett (0,5 m)","Бревно (0.5м)","Deska (0.5m)","Deszka (0.5 m)","Legname (0.5m)","Tabla (0.5m)","Bois (0.5m)","木材（0.5米）","木材(0.5m)","Tábua (0.5m)","木材(0.5m)",
"STR_EXPANSION_LUMBER_SMALL_DESC","Lumber is a type of wood that has been processed into beams and planks, a stage in the process of wood production. Lumber is mainly used for structural purposes but has many other uses as well. This one is really short !","Lumber is a type of wood that has been processed into beams and planks, a stage in the process of wood production. Lumber is mainly used for structural purposes but has many other uses as well. This one is really short !","Kláda je druh dřeva, které bylo zpracováno na nosníky a prkna, což je fáze v procesu výroby dřeva. Dřevo se používá především pro stavební účely, ale má také mnoho dalších použití. Tato je opravdu krátká!","Dieses Brett eigenet sich wunderbar für die Errichtung von Gebäuden und sonstigem!","Пиломатериалы - это вид древесины, который был переработан в балки и доски. Пиломатериалы в основном используются в конструкционных целях, но также имеют много других применений. Этот равен 0.5м","Lumber is a type of wood that has been processed into beams and planks, a stage in the process of wood production. Lumber is mainly used for structural purposes but has many other uses as well. This one is really short !","Lumber is a type of wood that has been processed into beams and planks, a stage in the process of wood production. Lumber is mainly used for structural purposes but has many other uses as well. This one is really short !","Legname in travi e tavole, prodotto dalla lavorazione di Tronchi. Solitamente usato per scopi strutturali ma ha altri svariati utilizzi. Questo è molto corto!","La madera aserrada es un tipo de madera que sirve para procesarse en vigas y tablones. La madera se utiliza principalmente con fines estructurales, pero también tiene muchos otros usos. ¡Este es demasiado corto!","Le bois de charpente est un type de bois qui a été transformé en poutres et en planches, une étape du processus de production du bois. Le bois d'œuvre est principalement utilisé à des fins structurelles, mais a également de nombreuses autres utilisations. Celui-ci est vraiment court!","木材是一種經過加工成梁和木板的木材類型，在木材生產過程中的一個階段。木材主要用於結構用途，但也有許多其他用途。這個真的很短！","Lumber is a type of wood that has been processed into beams and planks, a stage in the process of wood production. Lumber is mainly used for structural purposes but has many other uses as well. This one is really short !","Lumber is a type of wood that has been processed into beams and planks, a stage in the process of wood production. Lumber is mainly used for structural purposes but has many other uses as well. This one is really short !","木材是一种已被加工成梁和木板的木材，是木材生产过程中的一个阶段。木材主要用于结构目的，但也有许多其他用途。这个是0.5米长度的木材。",
"STR_EXPANSION_MEDIUM_SAFE","Medium Safe","Medium Safe","Střední Trezor","Mittlerer Tresor","Средний сейф","Średni Sejf","Közepes széf","Cassaforte Media","Caja fuerte mediana","Coffre-fort moyen","中型保險櫃","中型金庫","Cofre Médio","中等安全",
"STR_EXPANSION_METALBEAM_BIG","Metal Beam (1.5m)","Metal Beam (1.5m)","Kovový nostník (1.5m)","Metal Beam (1.5m)","Металлический двутавр (1.5м)","Metal Beam (1.5m)","Metal Beam (1.5m)","Metal Beam (1.5m)","Metal Beam (1.5m)","Poutre métallique (1.5m)","金屬樑（1.5米）","Metal Beam (1.5m)","Metal Beam (1.5m)","金属梁（1.5m）",
"STR_EXPANSION_METALBEAM_BIG_DESC","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","還未準備好 - 請勿翻譯","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","未准备好 - 不要翻译",
"STR_EXPANSION_METALBEAM_LARGE","Metal Beam (3m)","Metal Beam (3m)","Kovový nostník (3m)","Metal Beam (3m)","Металлический двутавр (3м)","Metal Beam (3m)","Metal Beam (3m)","Metal Beam (3m)","Metal Beam (3m)","Poutre métallique (3m)","金屬樑（3米）","Metal Beam (3m)","Metal Beam (3m)","金属梁（3m）",
"STR_EXPANSION_METALBEAM_LARGE_DESC","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","還未準備好 - 請勿翻譯","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","未准备好 - 不要翻译",
"STR_EXPANSION_METALBEAM_MEDIUM","Metal Beam (1m)","Metal Beam (1m)","Kovový nostník (1m)","Metal Beam (1m)","Металлический двутавр (1м)","Metal Beam (1m)","Metal Beam (1m)","Metal Beam (1m)","Metal Beam (1m)","Poutre métallique (1m)","金屬樑（1米）","Metal Beam (1m)","Metal Beam (1m)","金属梁（1m）",
"STR_EXPANSION_METALBEAM_MEDIUM_DESC","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","還未準備好 - 請勿翻譯","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","未准备好 - 不要翻译",
"STR_EXPANSION_METALBEAM_SMALL","Metal Beam (0.5m)","Metal Beam (0.5m)","Kovový nostník (0.5m)","Metal Beam (0.5m)","Металлический двутавр (0.5м)","Metal Beam (0.5m)","Metal Beam (0.5m)","Metal Beam (0.5m)","Metal Beam (0.5m)","Poutre métallique (0.5m)","金屬樑（0.5米）","Metal Beam (0.5m)","Metal Beam (0.5m)","金属梁（0.5m）",
